Azulejo-Código,Cidade,Pais,altura,largura,Endereço,Bairro,Uso-Aplicação
CE 1-1-1,Lisboa,Portugal,12/3,12/3,Rua Tomázia Perdigão n° 62,Cidade Velha,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 9-1-1,Porto,Portugal,14/1,14/1,Travessa Padre Eutiquio n° 1536,Batista Campos,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 12-2-1,Portugal,,13/2,13/2,Rua Senador Lemos n° 762/ Rua Padre Prudêncio n° 488/ Rua Siqueira Mendes n° 144/ Rua 15 de Novembro n° 314 e 312,Cidade Velha,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 12-2-1,Portugal,,13/2,13/2,Rua Senador Lemos n° 762/ Rua Padre Prudêncio n° 488/ Rua Siqueira Mendes n° 144/ Rua 15 de Novembro n° 314 e 312,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 12-2-1,Portugal,,13/2,13/2,Rua Senador Lemos n° 762/ Rua Padre Prudêncio n° 488/ Rua Siqueira Mendes n° 144/ Rua 15 de Novembro n° 314 e 312,Umarizal,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 13-1-1,Portugal,,,,Rua 15 de Novembro n° 43/57,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 15-1-1,Portugal,,,,Travessa Pedro Albuquerque n° 145,Cidade Velha,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 16-1-1,Portugal,,13/1,13/1,Travessa Rui Barbosa n° 773,Reduto,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 17-1-1,Porto,Portugal,13/5,13/5,Rua Senador Manoel Barata n° 136/138/ Rua Arcipreste Manoel Teodoro n° 943/ Avenida Gentil Bittencourt n° 57,Batista Campos,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 17-1-1,Porto,Portugal,13/5,13/5,Rua Senador Manoel Barata n° 136/138/ Rua Arcipreste Manoel Teodoro n° 943/ Avenida Gentil Bittencourt n° 57,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 18-1-1,Lisboa e Porto,Portugal,14/1,14/1,Rua Magalhães Barata n° 336/ Rua 28 de Setembro n° 892/ Travessa Rui Barbosa n° 346, 352, 358, 364 e 372,Reduto,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 19-1-2,Porto,Portugal,14/3,14/3,Travessa Frutuoso Guimarães n° 605/ Rua Siqueira Mendes n° 139/ Rua Senador Manoel Barata n° 147/ Avenida Conselheiro Furtado n° 412/ Rua Arcipreste Manoel Teodoro n° 462, 470, 476, 478 e 508/ Rua Tomázia Perdigão n° 174/178/ Travessa Padre Eutiquio n° 1258, 1274, 1282, 1286/1288, 1294 e s/n°/ Travessa Dr. Manoel n° 31,Cidade Velha,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 19-1-2,Porto,Portugal,14/3,14/3,Travessa Frutuoso Guimarães n° 605/ Rua Siqueira Mendes n° 139/ Rua Senador Manoel Barata n° 147/ Avenida Conselheiro Furtado n° 412/ Rua Arcipreste Manoel Teodoro n° 462, 470, 476, 478 e 508/ Rua Tomázia Perdigão n° 174/178/ Travessa Padre Eutiquio n° 1258, 1274, 1282, 1286/1288, 1294 e s/n°/ Travessa Dr. Manoel n° 31,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 19-1-2,Porto,Portugal,14/3,14/3,Travessa Frutuoso Guimarães n° 605/ Rua Siqueira Mendes n° 139/ Rua Senador Manoel Barata n° 147/ Avenida Conselheiro Furtado n° 412/ Rua Arcipreste Manoel Teodoro n° 462, 470, 476, 478 e 508/ Rua Tomázia Perdigão n° 174/178/ Travessa Padre Eutiquio n° 1258, 1274, 1282, 1286/1288, 1294 e s/n°/ Travessa Dr. Manoel n° 31,Umariza,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 19-1-2,Porto,Portugal,14/3,14/3,Travessa Frutuoso Guimarães n° 605/ Rua Siqueira Mendes n° 139/ Rua Senador Manoel Barata n° 147/ Avenida Conselheiro Furtado n° 412/ Rua Arcipreste Manoel Teodoro n° 462, 470, 476, 478 e 508/ Rua Tomázia Perdigão n° 174/178/ Travessa Padre Eutiquio n° 1258, 1274, 1282, 1286/1288, 1294 e s/n°/ Travessa Dr. Manoel n° 31,Batista Campos,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 19-1-2,Porto,Portugal,14/3,14/3,Travessa Frutuoso Guimarães n° 605/ Rua Siqueira Mendes n° 139/ Rua Senador Manoel Barata n° 147/ Avenida Conselheiro Furtado n° 412/ Rua Arcipreste Manoel Teodoro n° 462, 470, 476, 478 e 508/ Rua Tomázia Perdigão n° 174/178/ Travessa Padre Eutiquio n° 1258, 1274, 1282, 1286/1288, 1294 e s/n°/ Travessa Dr. Manoel n° 31,Nazaré,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 19-2-2,Porto,Portugal,13/3,13/3,Rua Tomázia Perdigão s/n°,Cidade Velha,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 20-1-1,Porto,Portugal,13/5,13/5,Rua 28 de Setembro n° 1166/1170,Reduto,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 21-1-1 (a e b),Porto,Portugal,14/3,14/3,Rua Cametá n° 125 e 133,Cidade Velha,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 21-1-2,Porto,Portugal,14/1,14/1,Travessa São Francisco n° 60/ Travessa Benjamin Constant n° 452,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 21-1-2,Porto,Portugal,14/1,14/1,Travessa São Francisco n° 60/ Travessa Benjamin Constant n° 452,Reduto,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 22-1-1,Porto,Portugal,14/1,14/1,Rua Senador Manoel barata n° 153 e 161/ Travessa Padre Eutiquio n° 987/985/ Travessa Campos Sales n° 604,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 23-1-1,Portugal,,,,Demolido antes de 1986,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 24-1-1,Porto,Portugal,,,Avenida Serzedelo Correa n° 1058, 1052 e 1048,Batista Campos,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 24-2-2,Porto,Portugal,,,Rua Senador Manoel Barata n° 270/274,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 25-1-1,Provavelmente Porto,Portugal,14/1,14/1,Travessa Dom Romualdo de Seias n° 613,Umarizal,Revestimento de fachada, assentados por compressão contra argamassa fresca.
