Azulejo-Código;Técnica de Fabricação e Decorativa;Tema;Endereço;Bairro
Registro Devocional RD 1-1-1;Estampagem Mecânica;Nossa Senhora de Fatima;Travessa Quintino Bocaiúva n° 945;Nazaré
Registro Devocional RD 1-2-1;Estampagem Mecânica;Nossa Senhora de Fatima;Rua Silva Santos n° 210;Cidade Velha
Registro Devocional RD 1-3-1;Estampagem Mecânica;Nossa Senhora de Fatima;Rua Rodrigues dos Santos n° 93;Cidade Velha
Registro Devocional RD 1-4-1;Estampagem Mecânica;Nossa Senhora de Fatima;Travessa Padre Eutiquio n° 612;Campina
Registro Devocional RD 1-5-1;Estampagem Mecânica;Nossa Senhora de Fatima;Avenida 16 de Novembro n° 130;Cidade Velha
Registro Devocional RD 1-6-1;Estampagem Mecânica;Nossa Senhora de Fatima;Rua Caetano Rufino n° 52;Cidade Velha
Registro Devocional RD 1-7-2;Estampagem Mecânica;Nossa Senhora de Fatima;Travessa Pedro Albuquerque n° 139/ Travessa Frei Gil de Vila Nova n° 337;Cidade Velha/Reduto
Registro Devocional RD 1-8-1;Estampagem Mecânica;Nossa Senhora de Fatima;Travessa Quintino Bocaiúva n° 1210;Reduto
Registro Devocional RD 1-9-1;Estampagem Mecânica;Nossa Senhora de Fatima;Rua Ó de Almeida n° 112;Campina
Registro Devocional RD 1-10-2;Estampagem Mecânica;Nossa Senhora de Fatima;Travessa Frei Gil de Vila Nova n° 583;Cidade Velha
Registro Devocional RD 2-1-2;Estampagem Mecânica;Nossa Senhora do Perpetuo Socorro;Travessa Frutuoso Guimarães n° 300/602;Campina
Registro Devocional RD 2-2-2;Estampagem Mecânica;Nossa Senhora do Perpetuo Socorro;Travessa Pedro Albuquerque n° 395;Cidade Velha
Registro Devocional RD 2-3-2;Estampagem Mecânica;Nossa Senhora do Perpetuo Socorro;Travessa Gurupá n° 301;Cidade Velha
Registro Devocional RD 2-4-2;Estampagem Mecânica;Nossa Senhora do Perpetuo Socorro;Travessa 1° de Março n° 640;Campina
