Azulejo-Código;Procedência;Fábrica;Dimensão-Formato;Material, Técnica de Fabricação e Decorativa;Endereço;Bairro;Uso-Aplicação;TIPOLOGIAS
CE 1-1-1;Lisboa/Portugal;x;12,3 x 12,3 cm;Cerâmica e vidrado Estampinha;Rua Tomázia Perdigão n° 62;Cidade Velha;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 9-1-1;Porto/Portugal;Santo Antônio do Vale da Piedade/Vila Nova de Gaia;14 x 14 cm;Cerâmica e vidrado Estampinha;Travessa Padre Eutiquio n° 1536;Batista Campos;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 12-2-1;x/Portugal;x;13,2 x 13,2 cm;Cerâmica e vidrado Estampinha;"Rua Senador Lemos n° 762; Rua Padre Prudêncio n° 488; Rua Siqueira Mendes n° 144; Rua 15 de Novembro n° 314 e 312";Cidade Velha/Campina/Umarizal;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 13-1-1;x/Portugal;x;x;Cerâmica e vidrado Estampinha;Rua 15 de Novembro n° 43/57;Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 15-1-1;x/Portugal;x;x;Cerâmica e vidrado Estampinha;Travessa Pedro Albuquerque n° 145;Cidade Velha;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 16-1-1;x/Portugal;x;13 x 13 cm;Cerâmica e vidrado Estampinha;Travessa Rui Barbosa n° 773;Reduto;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 17-1-1;Porto/Portugal;x;13,5 x 13,5 cm;Cerâmica e vidrado Estampinha;"Rua Senador Manoel Barata n° 136/138; Rua Arcipreste Manoel Teodoro n° 943; Avenida Gentil Bittencourt n° 57";Campina/Batista Campos;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 18-1-1;Lisboa e Porto/Portugal;x;14 x 14 cm;Cerâmica e vidrado Estampinha;"Rua Magalhães Barata n° 336; Rua 28 de Setembro n° 892; Travessa Rui Barbosa n° 346, 352, 358, 364 e 372";Reduto;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 19-1-2;Porto/Portugal;A.A.Costa & C Fa de Devezas - Baseado na cercadura estampilhada da Villeroy Boch Fabrik in Mettlach - n° do catálogo 148;14,3 x 14,3 cm;Cerâmica e vidrado Estampinha;"Travessa Frutuoso Guimarães n° 605; Rua Siqueira Mendes n° 139; Rua Senador Manoel Barata n° 147; Avenida Conselheiro Furtado n° 412; Rua Arcipreste Manoel Teodoro n° 462, 470, 476, 478 e 508; Rua Tomázia Perdigão n° 174/178; Travessa Padre Eutiquio n° 1258, 1274, 1282, 1286/1288, 1294 e s/n°; Travessa Dr. Manoel n° 31";Cidade Velha/Campina/Umarizal/Batista Campos/Nazaré;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 19-2-2;Porto/Portugal;A.A.Costa & C Fa de Devezas - Baseado na cercadura estampilhada da Villeroy Boch Mettlach - n° do catálogo 148;13,3 x 13,3 cm;Cerâmica e vidrado Estampinha;Rua Tomázia Perdigão s/n°;Cidade Velha;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 20-1-1;Porto/Portugal;A.A.Costa & C Fa de Devezas;13,5 x 13,5 cm;Cerâmica e vidrado Estampinha;Rua 28 de Setembro n° 1166/1170;Reduto;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 21-1-1 (a e b);Porto/Portugal;A.A.Costa & C Fa de Devezas;14,3 x 14,3 cm;Cerâmica e vidrado Estampinha;Rua Cametá n° 125 e 133;Cidade Velha;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 21-1-2;Porto/Portugal;x;14 x 14 cm;Cerâmica e vidrado Estampinha;"Travessa São Francisco n° 60; Travessa Benjamin Constant n° 452";Campina/Reduto;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 22-1-1;Porto/Portugal;A.A.Costa & C Fa de Devezas;14 x 14 cm;Cerâmica e vidrado Estampinha;"Rua Senador Manoel barata n° 153 e 161; Travessa Padre Eutiquio n° 987/985; Travessa Campos Sales n° 604";Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 23-1-1;x/Portugal;x;x;Cerâmica e vidrado Estampinha;Demolido antes de 1986;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 24-1-1;Porto/Portugal;Devezas - Carvalhinho n° 41 e 360;x;Cerâmica e vidrado Estampinha;Avenida Serzedelo Correa n° 1058, 1052 e 1048;Batista Campos;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 24-2-2;Porto/Portugal;x;x;Cerâmica e vidrado Estampinha;Rua Senador Manoel Barata n° 270/274;Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 25-1-1;Provavelmente Porto/Portugal;Carvalhinho;14 x 14 cm;Cerâmica e vidrado Estampinha;Travessa Dom Romualdo de Seixas n° 613;Umarizal;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 26-1-1;Porto/Portugal;Massarelos;14 x 14 cm;Cerâmica e vidrado Estampinha;Travessa Campos Sales n° 375;Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
