Azulejo-Código;Procedência;Fábrica;Dimensão-Formato;Material e Técnica de Fabricação e Decorativa;Endereço;Bairro;Uso-Aplicação;latitude;longitude
CE 1-1-1;Lisboa/Portugal;;"12;3 x 12;3 cm";Cerâmica e vidrado Estampinha;Rua Tomázia Perdigão nº 62- Belém - Pará - Brasil;Cidade Velha;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4570552;-48,5028955
CE 9-1-1;Porto/Portugal;Santo Antônio do Vale da Piedade/Vila Nova de Gaia;14 x 14 cm;Cerâmica e vidrado Estampinha;Travessa Padre Eutiquio nº 1536- Belém - Pará - Brasil;Batista Campos;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4693734;-48,4791116
CE 13-1-1;x/Portugal;;;Cerâmica e vidrado Estampinha;Rua 15 de Novembro nº 43- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,1615771;-48,4688459
CE 13-1-1;x/Portugal;;;Cerâmica e vidrado Estampinha;Rua 15 de Novembro nº 57- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,1615771;-48,4688459
CE 17-1-1;Porto/Portugal;;"13;5 x 13;5 cm";Cerâmica e vidrado Estampinha;Rua Senador Manoel Barata nº 136- Belém - Pará - Brasil;Reduto;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4450958;-48,4902637
CE 17-1-1;Porto/Portugal;;"13;5 x 13;5 cm";Cerâmica e vidrado Estampinha;Rua Senador Manoel Barata nº 138- Belém - Pará - Brasil;Reduto;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4450958;-48,4902637
CE 18-1-1;Lisboa e Porto/Portugal;;14 x 14 cm;Cerâmica e vidrado Estampinha;Rua Magalhães Barata nº 336- Belém - Pará - Brasil;Nazar�;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,452213539;-48,47748643
CE 19-1-2;Porto/Portugal;A.A.Costa & C Fa de Devezas - Baseado na cercadura estampilhada da Villeroy Boch Fabrik in Mettlach - n° do catálogo 148;"14;3 x 14;3 cm";Cerâmica e vidrado Estampinha;Travessa Frutuoso Guimarães nº 605- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4510368;-48,5010789
CE 20-1-1;Porto/Portugal;A.A.Costa & C Fa de Devezas;"13;5 x 13;5 cm";Cerâmica e vidrado Estampinha;Rua 28 de Setembro nº 1166- Belém - Pará - Brasil;Reduto;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,450574;-48,4982834
CE 20-1-1;Porto/Portugal;A.A.Costa & C Fa de Devezas;"13;5 x 13;5 cm";Cerâmica e vidrado Estampinha;Rua 28 de Setembro nº 1170- Belém - Pará - Brasil;Reduto;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,450574;-48,4982834
CE 21-1-1 (a e b);Porto/Portugal;A.A.Costa & C Fa de Devezas;"14;3 x 14;3 cm";Cerâmica e vidrado Estampinha;Rua Cametá nº 125- Belém - Pará - Brasil;Cidade Velha;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,45855;-48,50320532
CE 21-1-1 (a e b);Porto/Portugal;A.A.Costa & C Fa de Devezas;"14;3 x 14;3 cm";Cerâmica e vidrado Estampinha;Rua Cametá nº 133- Belém - Pará - Brasil;Cidade Velha;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4590114;-48,5032951
CE 21-1-2;Porto/Portugal;;14 x 14 cm;Cerâmica e vidrado Estampinha;Travessa São Francisco nº 60- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,456017963;-48,50010443
CE 22-1-1;Porto/Portugal;A.A.Costa & C Fa de Devezas;14 x 14 cm;Cerâmica e vidrado Estampinha;Rua Senador Manoel barata nº 153- Belém - Pará - Brasil;Reduto;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4450958;-48,4902637
CE 22-1-1;Porto/Portugal;A.A.Costa & C Fa de Devezas;14 x 14 cm;Cerâmica e vidrado Estampinha;Rua Senador Manoel barata nº 161- Belém - Pará - Brasil;Reduto;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4450958;-48,4902637
CE 24-1-1;Porto/Portugal;Devezas - Carvalhinho n° 41 e 360;;Cerâmica e vidrado Estampinha;Avenida Serzedelo Correa nº 1058- Belém - Pará - Brasil;Batista Campos;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4555337;-48,4918342
CE 24-2-2;Porto/Portugal;;;Cerâmica e vidrado Estampinha;Rua Senador Manoel Barata nº 270- Belém - Pará - Brasil;Reduto;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4450958;-48,4902637
CE 24-2-2;Porto/Portugal;;;Cerâmica e vidrado Estampinha;Rua Senador Manoel Barata nº 274- Belém - Pará - Brasil;Reduto;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4450958;-48,4902637
CE 25-1-1;Provavelmente Porto/Portugal;Carvalhinho;14 x 14 cm;Cerâmica e vidrado Estampinha;Travessa Dom Romualdo de Seixas nº 613- Belém - Pará - Brasil;Umarizal;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4448011;-48,4836168
CE 26-1-1;Porto/Portugal;Massarelos;14 x 14 cm;Cerâmica e vidrado Estampinha;Travessa Campos Sales nº 375- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4543075;-48,4978101
CE 29-1-1;Porto/Portugal;A.A.Costa & C Fa de Devezas;"13;5 x 13;5 cm";Cerâmica e vidrado Estampinha;Rua 13 de Maio nº 38- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,454470666;-48,50189619
CE 29-1-1;Porto/Portugal;A.A.Costa & C Fa de Devezas;"13;5 x 13;5 cm";Cerâmica e vidrado Estampinha;Rua 13 de Maio nº 40- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,454490615;-48,50177627
